fold,cnn,quantiles
0,0.9854227405247813,0.9333610995418575
1,0.9255050505050505,0.875
2,0.9694656488549618,0.910941475826972
3,0.8892190152801358,0.833616298811545
4,0.9246376811594202,0.8757763975155279
